match_id,period,player_id,player_name,player_position,team_shortname,x_start,y_start,x_end,y_end,start_zone,end_zone,game_state,targeted,received,tiro_desde_centro,gol_desde_centro,desmarque_ruptura_con_opcion_pase
2047793,1,28677,N. Colombo,RCB,Racing Club,-22.73,-25.45,-28.61,-21.65,10,5,drawing,False,False,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-25.88,9.76,-29.03,9.28,3,3,drawing,True,True,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-29.6,-17.04,-28.77,-14.51,4,4,drawing,False,False,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,-1.64,18.82,-6.5,21.34,7,7,drawing,True,True,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-26.74,-12.06,-26.74,-12.06,4,4,drawing,False,False,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-26.27,13.58,-26.27,13.58,2,2,drawing,True,True,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-26.63,-12.15,-27.14,-13.79,4,4,drawing,True,True,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,11.37,-11.69,9.9,-9.36,14,14,drawing,False,False,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,6.43,-34.36,18.25,-32.21,15,15,drawing,False,False,0,0,1
2047793,1,38142,A. Martínez,CF,Racing Club,16.74,-1.96,19.57,-4.03,13,14,drawing,False,False,0,0,0
2047793,1,26252,J. Nardoni,RM,Racing Club,10.08,-18.0,12.82,-19.58,14,15,drawing,False,False,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-19.43,3.65,-18.76,3.24,8,8,drawing,True,True,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,-7.78,23.29,-7.57,21.8,7,7,drawing,True,True,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-16.7,10.56,-16.11,11.53,8,8,drawing,False,False,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,15.05,1.06,13.79,5.97,13,13,drawing,False,False,0,0,0
2047793,1,35564,G. Rojas,LB,Racing Club,21.48,33.15,22.24,32.96,11,11,drawing,True,False,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,15.5,-30.41,15.5,-30.41,15,15,drawing,False,False,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,2.95,6.24,-0.0,3.98,13,8,drawing,True,True,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,10.83,-22.93,8.69,-25.03,15,15,drawing,False,False,0,0,0
