match_id,period,player_id,player_name,player_position,team_shortname,x_start,y_start,x_end,y_end,start_zone,end_zone,game_state,rec_directa,presion_exitosa,lider_presion,part_cadena_presion,presion_solitario,cadena_presion_exitosa,presiones_consecutivas,presion_reduce_amenaza,presion_para_amenaza,duelo_ganado,duelo_perdido,obliga_a_retroceder
2047793,1,58765,T. Palacios,RW,Estudiantes,-21.36,-26.03,-34.28,-31.65,10,5,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,38.44,0.85,35.56,8.9,18,18,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28615,E. Piovi,DM,Estudiantes,-29.35,-14.22,-31.05,-15.23,4,4,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,812900,R. Gómez,RB,Estudiantes,-38.08,-19.51,-41.47,-23.91,5,5,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28615,E. Piovi,DM,Estudiantes,-36.53,-20.38,-31.39,-22.96,5,5,drawing,0,0,0,0,1,0,1,0,0,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,-23.15,26.09,-23.55,28.0,7,7,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,25949,E. Cetré,LW,Estudiantes,-16.74,22.3,-19.3,22.09,7,7,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,-24.47,27.86,-25.16,19.75,7,7,drawing,0,1,0,0,1,0,1,0,0,0,0,0
2047793,1,28615,E. Piovi,DM,Estudiantes,-26.72,16.56,-26.0,16.1,2,2,drawing,1,0,0,0,1,0,0,0,0,1,0,0
2047793,1,26252,J. Nardoni,RM,Racing Club,22.1,-14.0,22.58,-14.57,14,14,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,23.67,-18.09,23.03,-16.35,14,14,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,22.99,-16.3,24.58,-13.98,14,14,drawing,0,0,1,1,0,1,1,0,0,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,30.18,-11.91,27.64,-12.61,19,19,drawing,0,0,1,1,0,1,0,0,0,0,0,0
2047793,1,26252,J. Nardoni,RM,Racing Club,21.85,-14.14,21.76,-12.35,14,14,drawing,0,0,1,1,0,1,1,0,0,0,0,0
2047793,1,26252,J. Nardoni,RM,Racing Club,21.72,-11.59,20.11,-6.55,14,14,drawing,0,1,1,1,0,1,1,0,0,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,18.55,-1.28,19.96,-1.46,13,13,drawing,1,0,1,1,0,1,0,0,0,1,0,0
2047793,1,28615,E. Piovi,DM,Estudiantes,-21.69,3.25,-19.91,-0.22,8,8,drawing,0,0,0,0,1,0,0,1,0,0,0,1
2047793,1,58765,T. Palacios,RW,Estudiantes,-20.84,-24.67,-20.79,-24.96,10,10,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,-16.13,-17.49,-13.19,-25.15,9,10,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28615,E. Piovi,DM,Estudiantes,-22.86,-10.3,-14.62,-11.25,9,9,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,-14.94,6.16,-13.83,10.25,8,8,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,24.93,-4.48,21.95,-3.31,14,14,drawing,0,0,1,1,0,1,0,0,0,0,0,1
2047793,1,38142,A. Martínez,CF,Racing Club,22.53,10.95,14.2,23.28,13,12,drawing,0,1,1,1,0,1,1,0,0,0,0,0
2047793,1,35564,G. Rojas,LB,Racing Club,10.76,23.54,10.89,24.7,12,12,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,0.14,15.65,-3.63,20.57,7,7,drawing,0,0,1,1,0,1,0,0,0,0,0,0
2047793,1,25949,E. Cetré,LW,Estudiantes,-9.72,27.76,-9.55,28.94,7,7,drawing,0,0,1,1,0,1,0,0,0,0,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,-18.97,-23.79,-20.3,-28.06,10,10,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,26.89,18.64,21.92,18.94,12,12,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,35564,G. Rojas,LB,Racing Club,17.87,26.04,17.77,22.51,12,12,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,15.68,4.62,21.55,8.71,13,13,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,10.15,-19.12,12.56,-23.77,14,15,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,13.12,-24.62,15.9,-31.38,15,15,drawing,0,1,0,0,1,0,1,0,0,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-14.1,-20.88,-16.73,-18.99,10,9,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-26.55,-8.52,-25.31,-3.66,4,9,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,35564,G. Rojas,LB,Racing Club,-34.97,7.47,-41.87,10.67,3,3,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,39.67,-1.2,39.58,-0.99,18,18,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,34536,L. González Pírez,LCB,Estudiantes,-17.46,-2.5,-15.09,-10.68,8,9,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28615,E. Piovi,DM,Estudiantes,-10.23,-10.49,-13.13,-10.33,9,9,drawing,0,0,0,0,1,0,0,0,0,0,1,0
2047793,1,528888,S. Solari,RF,Racing Club,23.51,-34.42,41.93,-33.08,15,20,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28615,E. Piovi,DM,Estudiantes,-20.77,5.59,-15.72,0.23,8,8,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,-14.88,-27.16,-9.87,-27.34,10,10,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,-20.85,-21.58,-11.34,-23.53,10,10,drawing,0,0,1,1,0,1,0,0,0,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,2.96,-4.17,4.19,-4.4,14,14,drawing,0,0,1,1,0,1,0,0,0,0,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,-2.04,-23.21,-0.55,-26.49,10,10,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,26.44,5.46,30.38,8.73,13,18,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,26252,J. Nardoni,RM,Racing Club,12.82,18.18,14.4,19.01,12,12,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,13.53,-14.29,17.25,-19.15,14,14,drawing,0,0,1,1,0,1,0,0,0,0,0,1
2047793,1,38142,A. Martínez,CF,Racing Club,25.8,-11.01,33.5,-10.69,14,19,drawing,0,0,1,1,0,1,0,0,0,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,42.03,-1.01,44.76,5.25,18,18,drawing,0,0,1,1,0,1,1,0,0,0,0,0
2047793,1,35564,G. Rojas,LB,Racing Club,-5.61,17.6,-2.19,30.09,7,6,drawing,0,0,1,1,0,1,0,0,0,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-30.88,9.49,-33.65,9.57,3,3,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,-39.54,-21.18,-32.66,-27.36,5,5,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,35564,G. Rojas,LB,Racing Club,-22.85,-9.08,-24.13,-1.44,9,8,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,-27.07,6.1,-26.73,4.37,3,3,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,36.26,18.42,38.77,24.53,17,17,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,36.57,13.67,37.64,11.82,17,18,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,29.74,22.72,34.2,19.58,17,17,drawing,1,0,0,0,1,0,0,0,0,1,0,0
2047793,1,812900,R. Gómez,RB,Estudiantes,-35.21,-18.93,-32.64,-25.85,4,5,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,812900,R. Gómez,RB,Estudiantes,-32.17,-26.62,-29.53,-29.79,5,5,drawing,0,0,0,0,1,0,1,0,0,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,-23.92,-24.6,-21.77,-29.89,10,10,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,-9.67,-15.75,-10.89,-20.94,9,10,drawing,0,0,0,0,1,0,0,0,0,0,0,1
2047793,1,28747,E. Almendra,LM,Racing Club,20.98,18.53,21.92,16.46,12,12,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,24.16,7.42,23.78,7.66,13,13,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,28615,E. Piovi,DM,Estudiantes,-27.39,-4.94,-30.73,-9.76,4,4,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,-23.93,-11.02,-25.59,-11.7,9,4,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,812900,R. Gómez,RB,Estudiantes,-35.87,-16.69,-39.5,-20.74,4,5,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,-33.57,-17.99,-35.99,-19.99,4,5,drawing,0,0,0,0,1,0,1,0,0,0,0,0
2047793,1,812900,R. Gómez,RB,Estudiantes,-40.24,-21.22,-47.62,-23.04,5,5,drawing,0,1,0,0,1,0,1,0,1,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,18.03,11.23,8.79,18.93,13,12,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,8.05,23.95,9.33,25.24,12,12,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,3.73,7.61,-19.04,11.57,13,8,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-29.96,1.67,-30.0,-2.39,3,3,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,-35.4,-7.1,-47.51,-25.21,4,5,drawing,0,0,0,0,1,0,0,1,0,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-41.11,-16.4,-31.09,-22.04,4,5,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,17.62,20.09,19.17,20.98,12,12,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,19.97,21.69,19.85,20.83,12,12,drawing,0,0,0,0,1,0,1,0,0,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,24.87,21.24,25.03,19.79,12,12,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,-0.01,-11.03,14.82,-16.1,9,14,drawing,0,0,0,0,1,0,0,0,0,0,1,0
2047793,1,58765,T. Palacios,RW,Estudiantes,-20.39,-24.33,-15.65,-30.88,10,10,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,1.23,9.3,1.46,9.74,13,13,drawing,0,0,1,1,0,1,0,0,0,0,0,0
2047793,1,25949,E. Cetré,LW,Estudiantes,-23.93,22.62,-37.54,25.91,7,2,drawing,0,0,1,1,0,1,0,0,1,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,-6.4,-17.82,-6.26,-9.46,9,9,drawing,0,0,0,0,1,0,0,0,0,0,1,0
2047793,1,38142,A. Martínez,CF,Racing Club,1.4,-12.46,-4.4,-9.16,14,9,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,-5.91,-1.84,-4.96,-4.22,8,9,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,-9.84,-2.8,-7.8,-7.72,8,9,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,-4.52,-23.92,-0.61,-26.02,10,10,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,-27.63,-27.22,-28.03,-31.11,5,5,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,812900,R. Gómez,RB,Estudiantes,-29.95,-24.87,-28.69,-25.78,5,5,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,-29.65,-29.07,-45.42,-24.15,5,5,drawing,0,1,0,0,1,0,1,0,0,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,32.45,12.81,33.43,15.2,18,17,drawing,0,0,0,0,1,0,0,0,0,0,0,0
