match_id,period,player_name,player_targeted_name,player_position,player_targeted_position,team_shortname,x_start,y_start,start_zone,x_end,y_end,end_zone,game_state,pase_completado,pase_peligroso,pase_primera,pase_cabeza,pase_alto,pase_corto,pase_medio,pase_largo,pase_adelante,pase_atras,pase_lados,pase_dificil,pase_rompe_primera_linea,pase_rompe_segunda_linea,pase_rompe_ultima_linea,pase_area,packing,player_targeted_xthreat,player_targeted_xpass_completion
2047793,1,A. Martínez,E. Almendra,CF,LM,Racing Club,14.51,2.64,13,14.51,2.64,13,drawing,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.0015,0.9804
2047793,1,E. Almendra,A. García Basso,LM,LCB,Racing Club,0.14,-1.69,8,0.14,-1.69,8,drawing,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.0,0.0001,0.9947
2047793,1,A. García Basso,S. Solari,LCB,RF,Racing Club,-15.36,12.1,8,-15.54,12.07,8,drawing,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.0,0.004,0.6781
2047793,1,S. Arzamendia,E. Cetré,LB,LW,Estudiantes,-25.99,16.81,2,-25.99,16.81,2,drawing,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,-0.0,0.0012,0.5721
2047793,1,E. Cetré,S. Arzamendia,LW,LB,Estudiantes,-9.26,30.48,6,-8.78,31.03,6,drawing,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0,0.0004,0.9779
2047793,1,S. Arzamendia,L. González Pírez,LB,LCB,Estudiantes,-20.97,26.1,7,-20.09,27.26,7,drawing,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0,0.0001,0.9986
2047793,1,L. González Pírez,T. Palacios,LCB,RW,Estudiantes,-32.68,13.98,2,-33.25,6.84,3,drawing,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,-0.0,0.0017,0.6008
2047793,1,T. Palacios,S. Ascacíbar,RW,RM,Estudiantes,1.06,-20.03,15,1.06,-20.03,15,drawing,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.0,0.0014,0.9953
2047793,1,S. Ascacíbar,R. Gómez,RM,RB,Estudiantes,-3.57,-19.32,9,-3.57,-19.32,9,drawing,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0,0.0036,0.9653
2047793,1,R. Gómez,T. Palacios,RB,RW,Estudiantes,3.57,-31.82,15,3.48,-32.07,15,drawing,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.0,0.0038,0.639
2047793,1,S. Sosa,A. Martínez,DM,CF,Racing Club,-46.76,24.66,2,-38.57,30.09,1,drawing,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.0,0.0011,0.6898
2047793,1,S. Núñez,T. Palacios,RCB,RW,Estudiantes,20.46,-25.28,15,20.46,-25.28,15,drawing,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,,
2047793,1,A. Martínez,F. Cambeses,CF,GK,Racing Club,-42.85,2.1,3,-42.85,2.1,3,drawing,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,,
2047793,1,T. Palacios,G. Carrillo,RW,CF,Estudiantes,28.11,9.98,18,28.11,9.98,18,drawing,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,-0.0,0.0185,0.4594
2047793,1,A. García Basso,G. Rojas,LCB,LB,Racing Club,-39.22,-0.28,3,-39.22,-0.28,3,drawing,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.0,0.0019,0.2764
2047793,1,G. Rojas,A. Martínez,LB,CF,Racing Club,-19.17,-1.54,8,-19.17,-1.54,8,drawing,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,-0.0,0.0013,0.6349
2047793,1,A. Martínez,D. Vergara,CF,LF,Racing Club,-20.61,-1.42,8,-20.61,-1.42,8,drawing,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,-0.0,0.0031,0.6432
2047793,1,D. Vergara,S. Solari,LF,RF,Racing Club,7.74,32.77,11,12.62,30.31,11,drawing,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.0,0.0057,0.8346
2047793,1,S. Solari,D. Vergara,RF,LF,Racing Club,21.82,34.33,11,25.95,30.45,11,drawing,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2.0,0.0042,0.9879
2047793,1,D. Vergara,G. Rojas,LF,LB,Racing Club,19.99,26.52,12,19.99,26.52,12,drawing,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0,0.0023,0.9936
2047793,1,G. Rojas,J. Nardoni,LB,RM,Racing Club,10.21,27.16,12,8.92,24.7,12,drawing,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0045,0.9948
