match_id,period,player_id,player_name,player_position,team_shortname,x_start,y_start,x_end,y_end,start_zone,end_zone,game_state,ruptura_sin_opcion,intento_pared,desmarque_dentro_fuera,desmarque_fuera_dentro,desmarque_por_delante,desmarque_profundidad,desmarque_profundidad_completado,desmarque_profundidad_centro,desmarque_profundidad_centro_completado,desmarque_profundidad_fuera,desmarque_profundidad_fuera_completado
2047793,1,36739,C. Medina,LM,Estudiantes,-11.77,15.15,0.94,27.72,7,7,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,-7.79,-7.38,-4.78,-17.88,9,9,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,812900,R. Gómez,RB,Estudiantes,-9.4,-29.37,-5.17,-29.59,10,10,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,812900,R. Gómez,RB,Estudiantes,-4.54,-29.67,2.35,-31.0,10,15,drawing,0,0,0,0,1,0,0,0,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,5.3,-18.34,21.45,-31.89,14,15,drawing,0,0,1,0,1,0,0,0,0,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,1.73,-22.61,4.68,-25.94,15,15,drawing,0,1,0,0,0,0,0,0,0,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,5.01,-26.22,25.96,-19.76,15,15,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,16.94,-16.78,36.35,-16.24,14,19,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,35564,G. Rojas,LB,Racing Club,-27.72,4.64,-19.7,-1.01,3,8,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,-34.39,-3.56,-20.61,-1.42,4,8,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,-16.83,16.98,6.81,31.81,7,11,drawing,0,0,0,0,0,1,1,0,0,1,1
2047793,1,528888,S. Solari,RF,Racing Club,-23.34,10.36,1.7,32.19,8,11,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,10.15,33.85,21.03,34.41,11,11,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,13.46,0.86,29.43,-1.19,13,18,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,14.75,29.33,19.18,26.06,11,12,drawing,0,0,0,1,0,0,0,0,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,31.51,7.36,33.1,-1.22,18,18,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,25949,E. Cetré,LW,Estudiantes,-25.54,31.68,-21.15,33.08,1,6,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,25949,E. Cetré,LW,Estudiantes,-20.59,33.14,-6.25,29.0,6,7,drawing,0,0,0,0,1,1,1,0,0,1,1
2047793,1,4110,G. Carrillo,CF,Estudiantes,-10.88,18.72,-14.64,21.44,7,7,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,-19.18,12.47,-7.75,15.73,8,7,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,25949,E. Cetré,LW,Estudiantes,-5.26,28.55,6.91,25.08,7,12,drawing,0,1,0,0,0,1,0,0,0,1,0
